text,label
عصابات مافيوزية,neg
في العروسات والبحر الكورونا عاملة معاكم هدنة!,neg
برافو ربي يقويه,pos
اخيت اذا كان يكثروا الفلوس كيما هكة كل شيء يمساط كل شيء يبدى متاح معادش يتبننها العبد وزيد على ذلك اكيد الفلوس مش كل شيء  وايضا في الاخر مش تموت وتخليهم الحاصيلوا بعد ما علقت اندمت اش يهمني فيهم انا نكسر في راسي هوما يكسبوا ونحن نحسبوا ههههه,neg
Zeyed 9a3ed fi Tunis bled kalba,neg
Safarhom lel meri5 ya trump meyest7a9ouch y3ichou fel ardh,neg
باش يرضى عليهم سيدهم الشيخ...,neg
احلى حاجة في حي الخضراء ❤,pos
Bravooooo لولاد تونس لحرار,pos
Yarhem waldih mais ce n est pas à lui de faire ca le gouvernement doit bouger de leur chaise pour remettre le pays sur pied c est inadmissible au 21ème siècle c est une honte aux yeux du monde tahya Touness,pos
"توا والا مقرونة نظيف مش طلعت فيه لعيبوب الكل وطلعت من اسقط وارذل وافسد ماانجبت تونس وقلت الي عندو قضايا فساد مثبتة وبالأدلة والوثائق وقلت وقتها ""نحن مانحكيو كان بالوثائق"" اي اش صار ملا بقدرة قادرة وإلا نظيف صح عليك مدام فما أغبياء تصدق فيك وتصفقلك",neg
والله شيء يقزز في ها البلاد كيفاش ولات لا حول ولا قوة ألا باالله,neg
والطحانة واللحاسة يقولوا المرتبة الاولى,neg
Kolli e3tezaz wa fa5r be ra2esna al 3aziz rabi ytawwel fi 3omrou,pos
الله يحفظه و يستره ويكثر من امثاله امين,pos
وحدك ياتونيسار ديما مولعتها 🥳,pos
توا مصدقين كذب موزاييك .. حراك شعب البهايم,neg
الحمدلله,pos
اتلم تنتون على تنتن واحد نتن و الثاني انتن,neg
Allah y3ayen labari fi 3inihom 3ayfouna ou karhouna fiha lebled,neg
لقيت حل لبلادك موش خير,neg
7atta hedha khonnar 😯😒,neg
اغتصاب العجوز يثر الغضب و سكت ..تي بالحرام كان جاء عندي سلطة .القيروان يما نبيعها لصومال باش معدش يلڨو ما يغتصبو ..مالا قوم لوط .عجوزة عمرها 98 عام و طمعو فيها اللطف ياربي مالا حيوانات,neg
والفتنه اشد من القتل,neg
Assala Mdawkhy هكا نعرفوا كيفاه تولي اغنى مراة في العالم ،، بالعمل و التفاني و انك تاخذ من فلوس شخص معادش يحب يعيش معاك ما يكفي انك تولي من اغنياء العالم 😂😂🤣🤣,pos
